Time, Preassure, Temperature, Altitude
649,101212.20,19.69,9.40
1160,101202.48,19.63,10.21
1672,101203.13,19.63,10.15
2184,101203.60,19.63,10.11
2695,101204.51,19.63,10.04
3207,101204.83,19.63,10.01
3718,101205.15,19.63,9.98
4230,101205.89,19.63,9.92
4741,101206.21,19.63,9.89
5253,101206.53,19.63,9.87
5765,101207.28,19.64,9.81
6276,101207.59,19.64,9.78
6788,101207.92,19.64,9.75
7299,101208.63,19.64,9.69
7811,101208.80,19.64,9.68
8322,101209.11,19.64,9.65
8834,101209.86,19.64,9.59
9345,101210.02,19.64,9.58
9860,101210.59,19.64,9.53
10371,101210.76,19.64,9.52
10883,101210.76,19.64,9.52
11395,101211.34,19.65,9.47
11907,101211.50,19.65,9.45
12418,101211.89,19.65,9.42
12930,101211.89,19.65,9.42
13442,101212.05,19.65,9.41
13954,101211.89,19.65,9.42
14465,101212.31,19.65,9.39
14977,101212.64,19.65,9.36
15489,101212.80,19.65,9.35
16000,101212.80,19.65,9.35
16512,101213.06,19.65,9.32
17024,101213.22,19.65,9.31
17536,101213.06,19.65,9.32
18047,101213.48,19.66,9.29
18559,101213.33,19.66,9.30
19074,101213.33,19.66,9.30
19585,101213.48,19.66,9.29
20097,101213.88,19.66,9.26
20609,101213.88,19.66,9.26
21120,101213.71,19.66,9.27
21632,101213.71,19.66,9.27
22144,101213.71,19.66,9.27
22655,101214.13,19.66,9.23
23167,101214.13,19.66,9.23
23679,101214.13,19.66,9.23
24191,101214.13,19.66,9.23
24702,101214.13,19.66,9.23
25214,101214.30,19.66,9.22
25726,101214.45,19.66,9.21
26238,101214.45,19.66,9.21
26749,101214.62,19.66,9.19
27261,101214.45,19.66,9.21
27773,101214.30,19.66,9.22
28287,101214.30,19.66,9.22
28799,101214.45,19.66,9.21
29311,101214.45,19.66,9.21
29822,101214.62,19.66,9.19
30334,101214.78,19.66,9.18
30846,101214.78,19.66,9.18
31358,101215.09,19.66,9.15
31869,101214.94,19.66,9.17
32381,101214.94,19.66,9.17
32893,101214.78,19.66,9.18
33404,101214.94,19.66,9.17
33916,101215.09,19.66,9.15
34428,101215.09,19.66,9.15
34940,101215.26,19.66,9.14
35451,101215.42,19.66,9.13
35963,101214.84,19.66,9.18
36475,101215.00,19.66,9.16
36986,101215.16,19.66,9.15
37498,101215.32,19.66,9.14
38013,101215.64,19.66,9.11
38524,101215.80,19.66,9.10
39036,101215.58,19.66,9.11
39548,101215.73,19.66,9.10
40060,101215.89,19.66,9.09
40571,101215.79,19.65,9.10
41083,101215.79,19.65,9.10
41595,101215.95,19.65,9.08
42106,101216.11,19.65,9.07
42618,101216.02,19.65,9.08
43130,101216.33,19.65,9.05
43642,101216.33,19.65,9.05
44153,101216.23,19.65,9.06
44665,101216.72,19.65,9.02
45177,101217.03,19.65,8.99
45688,101216.80,19.65,9.01
46200,101216.97,19.65,9.00
46712,101217.28,19.65,8.97
47226,101217.45,19.65,8.96
47738,101217.19,19.64,8.98
48250,101217.19,19.64,8.98
48762,101217.34,19.64,8.97
49273,101217.41,19.64,8.96
49785,101216.83,19.64,9.01
50297,101216.98,19.64,9.00
50808,101216.98,19.64,9.00
51320,101216.83,19.64,9.01
51832,101216.75,19.64,9.02
52343,101216.75,19.64,9.02
52855,101216.66,19.63,9.02
53367,101216.66,19.63,9.02
53879,101216.81,19.63,9.01
54390,101216.55,19.63,9.03
54902,101216.71,19.63,9.02
55414,101216.88,19.63,9.01
55926,101216.61,19.63,9.03
56440,101216.38,19.63,9.05
56952,101216.38,19.63,9.05
57464,101216.38,19.63,9.05
57975,101216.12,19.63,9.07
58487,101216.44,19.63,9.04
58999,101216.02,19.62,9.08
59510,101216.50,19.62,9.04
60022,101216.66,19.62,9.02
60534,101216.59,19.62,9.03
61046,101216.59,19.62,9.03
61557,101216.48,19.62,9.04
62072,101216.81,19.62,9.01
62583,101216.81,19.62,9.01
63095,101216.39,19.62,9.05
63607,101216.28,19.61,9.06
64119,101216.45,19.61,9.04
64630,101216.22,19.61,9.06
65142,101216.54,19.61,9.03
65654,101216.12,19.61,9.07
66168,101216.44,19.61,9.04
66680,101216.17,19.61,9.06
67191,101215.91,19.60,9.09
67703,101215.91,19.60,9.09
68214,101216.08,19.60,9.07
68726,101215.84,19.60,9.09
69238,101216.16,19.60,9.07
69749,101216.48,19.60,9.04
70261,101216.39,19.60,9.05
70772,101216.55,19.60,9.03
71284,101216.55,19.60,9.03
71795,101216.28,19.60,9.06
72307,101216.18,19.59,9.06
72819,101216.34,19.59,9.05
73330,101215.95,19.59,9.08
73842,101215.95,19.59,9.08
74353,101215.70,19.59,9.10
74865,101215.85,19.59,9.09
75379,101215.43,19.59,9.13
75891,101215.59,19.59,9.11
76402,101215.33,19.58,9.14
76914,101215.65,19.58,9.11
77425,101215.81,19.58,9.09
77937,101215.58,19.58,9.11
78448,101215.74,19.58,9.10
78960,101215.48,19.58,9.12
79471,101215.64,19.58,9.11
79983,101215.38,19.58,9.13
80494,101215.54,19.58,9.12
81006,101215.54,19.58,9.12
81518,101215.54,19.58,9.12
82029,101215.44,19.57,9.13
82541,101215.59,19.57,9.11
83052,101215.37,19.57,9.13
83564,101215.11,19.57,9.15
84075,101215.27,19.57,9.14
84590,101215.42,19.57,9.13
85102,101215.33,19.57,9.14
85613,101215.39,19.56,9.13
86125,101215.55,19.56,9.12
86637,101215.48,19.56,9.12
87149,101215.64,19.56,9.11
87660,101215.80,19.56,9.10
88172,101215.53,19.56,9.12
88684,101215.70,19.56,9.10
89195,101216.02,19.56,9.08
89707,101215.91,19.56,9.09
90219,101216.08,19.56,9.07
90731,101216.40,19.56,9.05
91242,101216.40,19.56,9.05
91754,101216.17,19.55,9.06
92266,101216.33,19.55,9.05
92777,101216.07,19.55,9.07
93289,101216.55,19.55,9.03
93804,101216.55,19.55,9.03
94315,101216.28,19.55,9.06
94827,101216.02,19.55,9.08
95339,101216.34,19.55,9.05
95851,101216.12,19.54,9.07
96362,101216.44,19.54,9.04
96874,101216.34,19.54,9.05
97386,101216.50,19.54,9.04
97897,101216.23,19.54,9.06
98409,101216.39,19.54,9.05
98921,101216.55,19.54,9.03
99433,101216.13,19.54,9.07
99944,101215.91,19.53,9.09
100456,101215.91,19.53,9.09
100968,101216.06,19.53,9.07
101479,101216.06,19.53,9.07
101991,101215.97,19.53,9.08
102503,101215.97,19.53,9.08
103015,101215.54,19.53,9.12
103529,101215.70,19.53,9.10
104041,101215.86,19.53,9.09
104553,101215.44,19.53,9.13
105064,101215.60,19.53,9.11
105576,101215.21,19.52,9.14
106088,101215.38,19.52,9.13
106600,101214.95,19.52,9.17
107111,101215.11,19.52,9.15
107623,101214.84,19.52,9.18
108135,101215.01,19.52,9.16
108646,101214.91,19.52,9.17
109158,101214.91,19.52,9.17
109670,101214.84,19.51,9.18
110181,101215.00,19.51,9.16
110693,101214.73,19.51,9.18
111205,101214.73,19.51,9.18
111717,101214.73,19.51,9.18
112231,101214.90,19.51,9.17
112743,101215.06,19.51,9.16
113255,101214.95,19.51,9.17
113766,101215.12,19.51,9.15
114278,101215.28,19.51,9.14
114790,101214.86,19.51,9.17
115302,101215.17,19.51,9.15
115813,101215.17,19.51,9.15
116325,101214.78,19.50,9.18
116837,101214.95,19.50,9.17
117348,101214.69,19.50,9.19
117860,101214.59,19.50,9.20
